hh_id,province,district,urban_rural,hh_size,n_children,n_working_age,n_elderly,monthly_income,monthly_expenditure,has_electricity,has_improved_water,has_improved_sanitation,owns_radio,owns_tv,owns_mobile,owns_refrigerator,owns_vehicle,dwelling_type,survey_weight,province_code,province_name,capital,population,character,hh_size_category
DHHS2025-00019,STH,Frequency Plains,Urban,6,0,6,0,46918,39822,True,True,True,True,True,True,False,False,Single room,0.8,STH,Southern Province,Median City,3800000,"Industrial, urban",Large
DHHS2025-00020,CTR,Variance District,Urban,6,2,4,0,34732,32686,True,False,True,True,True,True,True,False,Single room,0.55,CTR,Central Province,Numerica,5200000,"Capital region, services, government",Large
DHHS2025-00021,NTH,Polaris District,Rural,5,4,1,0,12422,11261,False,False,False,False,False,True,False,False,Detached house,2.08,NTH,Northern Province,Polaris,2100000,"Rural, agricultural, mining",Medium
DHHS2025-00022,EST,Outlier Coastal,Rural,2,1,1,0,56644,46272,True,True,True,False,True,True,True,False,Single room,1.82,EST,Eastern Province,Outlier Bay,2500000,"Coastal, fishing, tourism",Small
DHHS2025-00023,WST,Error Margin,Rural,1,0,1,0,26142,23362,True,True,True,False,False,True,False,True,Detached house,2.35,WST,Western Province,Deviation,1900000,"Semi-arid, livestock",Small
DHHS2025-00024,CTR,Range District,Urban,4,0,4,0,54763,47134,True,True,False,True,True,False,True,False,Semi-detached,0.59,CTR,Central Province,Numerica,5200000,"Capital region, services, government",Medium
DHHS2025-00025,EST,Skewness District,Urban,4,3,1,0,37047,32231,True,True,True,True,True,True,False,False,Single room,1.22,EST,Eastern Province,Outlier Bay,2500000,"Coastal, fishing, tourism",Medium
DHHS2025-00026,LKS,Parameter District,Rural,5,4,1,0,28869,20743,True,False,False,False,False,False,False,False,Semi-detached,1.52,LKS,Lakeside Province,Port Sample,3000000,"Agriculture, lake fishing",Medium
DHHS2025-00027,CTR,Numerica Peri-Urban,Rural,3,2,1,0,32926,23804,False,True,True,True,False,True,False,True,Traditional hut,0.86,CTR,Central Province,Numerica,5200000,"Capital region, services, government",Medium
DHHS2025-00028,CTR,Numerica Urban,Urban,3,2,1,0,21984,16759,False,True,False,True,False,False,False,False,Flat/Apartment,0.65,CTR,Central Province,Numerica,5200000,"Capital region, services, government",Medium
DHHS2025-00029,STH,Median Urban,Rural,5,3,2,0,45360,38115,True,True,True,True,False,True,False,False,Traditional hut,1.18,STH,Southern Province,Median City,3800000,"Industrial, urban",Medium
DHHS2025-00030,CTR,Numerica Peri-Urban,Urban,4,0,4,0,75990,65023,True,True,True,True,True,True,True,False,Semi-detached,0.55,CTR,Central Province,Numerica,5200000,"Capital region, services, government",Medium
DHHS2025-00031,STH,Distribution District,Urban,6,1,5,0,53878,47090,True,True,True,False,True,True,False,False,Detached house,0.79,STH,Southern Province,Median City,3800000,"Industrial, urban",Large
DHHS2025-00032,LKS,Port Sample District,Rural,8,2,6,0,23879,22624,True,True,True,True,False,False,True,False,Traditional hut,1.48,LKS,Lakeside Province,Port Sample,3000000,"Agriculture, lake fishing",Large
DHHS2025-00033,LKS,Port Sample District,Rural,4,3,1,0,20828,20152,True,False,True,True,False,False,False,False,Detached house,1.57,LKS,Lakeside Province,Port Sample,3000000,"Agriculture, lake fishing",Medium
DHHS2025-00034,NTH,Sigma District,Urban,3,2,1,0,31541,29049,False,False,True,True,True,True,True,False,Detached house,1.44,NTH,Northern Province,Polaris,2100000,"Rural, agricultural, mining",Medium
DHHS2025-00035,NTH,Correlation Hills,Rural,6,2,4,0,22564,20406,False,True,True,True,True,True,True,False,Semi-detached,2.41,NTH,Northern Province,Polaris,2100000,"Rural, agricultural, mining",Large
DHHS2025-00036,CTR,Numerica Urban,Urban,6,5,1,0,50281,50286,True,True,True,True,True,False,True,False,Semi-detached,0.55,CTR,Central Province,Numerica,5200000,"Capital region, services, government",Large
DHHS2025-00037,LKS,Port Sample District,Urban,7,1,6,0,29486,28722,True,False,True,True,True,False,False,False,Semi-detached,1.09,LKS,Lakeside Province,Port Sample,3000000,"Agriculture, lake fishing",Large
DHHS2025-00038,WST,Confidence District,Rural,4,1,3,0,18473,17465,True,True,True,True,False,False,False,False,Detached house,2.63,WST,Western Province,Deviation,1900000,"Semi-arid, livestock",Medium
DHHS2025-00039,STH,Median Urban,Urban,7,1,6,0,83812,67903,True,True,True,True,True,True,False,False,Informal,0.84,STH,Southern Province,Median City,3800000,"Industrial, urban",Large
DHHS2025-00040,WST,Deviation District,Rural,3,2,1,0,34529,27045,False,True,True,True,True,True,False,False,Detached house,2.43,WST,Western Province,Deviation,1900000,"Semi-arid, livestock",Medium
DHHS2025-00041,LKS,Estimate District,Rural,9,1,8,0,71495,53599,True,True,False,True,False,True,False,False,Single room,1.52,LKS,Lakeside Province,Port Sample,3000000,"Agriculture, lake fishing",Large
DHHS2025-00042,LKS,Interval District,Rural,3,2,1,0,21678,18809,False,True,False,True,False,True,False,False,Traditional hut,1.53,LKS,Lakeside Province,Port Sample,3000000,"Agriculture, lake fishing",Medium
DHHS2025-00043,CTR,Numerica Urban,Urban,9,3,6,0,56554,53824,False,True,True,True,True,True,True,False,Single room,0.55,CTR,Central Province,Numerica,5200000,"Capital region, services, government",Large
DHHS2025-00044,CTR,Variance District,Urban,7,0,7,0,40910,34929,True,True,True,True,False,True,False,True,Semi-detached,0.58,CTR,Central Province,Numerica,5200000,"Capital region, services, government",Large
DHHS2025-00045,WST,Deviation District,Urban,4,1,3,0,30840,31607,True,True,True,True,False,False,True,False,Single room,1.6,WST,Western Province,Deviation,1900000,"Semi-arid, livestock",Medium
DHHS2025-00046,CTR,Range District,Urban,7,0,7,0,44310,34598,True,True,True,False,False,False,True,False,Informal,0.57,CTR,Central Province,Numerica,5200000,"Capital region, services, government",Large
DHHS2025-00047,NTH,Sigma District,Rural,3,2,1,0,40261,30426,True,False,False,True,False,True,False,False,Detached house,1.99,NTH,Northern Province,Polaris,2100000,"Rural, agricultural, mining",Medium
DHHS2025-00048,CTR,Numerica Peri-Urban,Urban,4,0,4,0,134825,112927,True,True,True,True,True,True,True,True,Single room,0.56,CTR,Central Province,Numerica,5200000,"Capital region, services, government",Medium
DHHS2025-00049,WST,Confidence District,Rural,3,2,1,0,25887,24136,True,False,True,True,True,False,True,False,Detached house,2.61,WST,Western Province,Deviation,1900000,"Semi-arid, livestock",Medium
DHHS2025-00050,STH,Distribution District,Urban,8,1,7,0,60610,55821,True,False,True,True,True,True,True,False,Flat/Apartment,0.79,STH,Southern Province,Median City,3800000,"Industrial, urban",Large
DHHS2025-00051,LKS,Parameter District,Urban,6,0,6,0,44501,41242,False,True,True,True,True,True,True,False,Informal,1.01,LKS,Lakeside Province,Port Sample,3000000,"Agriculture, lake fishing",Large
DHHS2025-00052,NTH,Regression Valley,Urban,5,2,2,1,28180,23796,False,False,False,True,False,False,False,False,Detached house,1.57,NTH,Northern Province,Polaris,2100000,"Rural, agricultural, mining",Medium
DHHS2025-00053,CTR,Numerica Urban,Urban,8,2,5,1,20365,16969,True,False,False,True,False,True,False,False,Single room,0.59,CTR,Central Province,Numerica,5200000,"Capital region, services, government",Large
DHHS2025-00054,STH,Median Urban,Urban,3,1,2,0,23580,21315,True,True,False,True,True,True,True,False,Informal,0.88,STH,Southern Province,Median City,3800000,"Industrial, urban",Medium
DHHS2025-00055,STH,Median Urban,Urban,4,2,2,0,16331,13591,False,False,False,False,False,False,False,False,Detached house,0.87,STH,Southern Province,Median City,3800000,"Industrial, urban",Medium
DHHS2025-00056,WST,Confidence District,Urban,8,2,6,0,30840,28845,True,False,False,False,False,True,True,False,Semi-detached,1.67,WST,Western Province,Deviation,1900000,"Semi-arid, livestock",Large
DHHS2025-00057,CTR,Numerica Urban,Rural,6,3,3,0,14126,13796,False,False,True,False,False,False,False,False,Detached house,0.98,CTR,Central Province,Numerica,5200000,"Capital region, services, government",Large
DHHS2025-00058,NTH,Correlation Hills,Rural,4,3,1,0,39060,32415,True,False,False,True,False,False,False,True,Traditional hut,2.16,NTH,Northern Province,Polaris,2100000,"Rural, agricultural, mining",Medium
DHHS2025-00059,EST,Percentile District,Rural,4,0,4,0,92919,79342,True,True,True,True,True,True,False,False,Semi-detached,1.84,EST,Eastern Province,Outlier Bay,2500000,"Coastal, fishing, tourism",Medium
DHHS2025-00060,LKS,Port Sample District,Rural,4,1,3,0,8876,6269,False,True,True,True,False,False,False,False,Single room,1.51,LKS,Lakeside Province,Port Sample,3000000,"Agriculture, lake fishing",Medium
DHHS2025-00061,CTR,Variance District,Urban,3,1,1,1,161252,142503,True,True,True,True,True,True,True,False,Informal,0.65,CTR,Central Province,Numerica,5200000,"Capital region, services, government",Medium
DHHS2025-00062,CTR,Range District,Urban,4,2,2,0,60693,51231,True,True,False,True,True,True,True,True,Detached house,0.63,CTR,Central Province,Numerica,5200000,"Capital region, services, government",Medium
DHHS2025-00063,CTR,Numerica Urban,Urban,7,1,6,0,45174,36140,False,False,True,False,False,False,True,True,Detached house,0.59,CTR,Central Province,Numerica,5200000,"Capital region, services, government",Large
DHHS2025-00064,WST,Confidence District,Rural,5,2,3,0,30905,27217,False,True,True,True,False,True,False,True,Detached house,2.34,WST,Western Province,Deviation,1900000,"Semi-arid, livestock",Medium
DHHS2025-00065,NTH,Polaris District,Rural,5,0,5,0,6338,5259,False,True,False,True,False,True,False,False,Detached house,2.11,NTH,Northern Province,Polaris,2100000,"Rural, agricultural, mining",Medium
DHHS2025-00066,STH,Mode District,Rural,7,1,6,0,21862,18488,True,False,True,False,False,True,True,False,Semi-detached,1.18,STH,Southern Province,Median City,3800000,"Industrial, urban",Large
DHHS2025-00067,CTR,Variance District,Urban,6,1,5,0,23007,22764,True,False,False,True,True,False,False,False,Detached house,0.63,CTR,Central Province,Numerica,5200000,"Capital region, services, government",Large
DHHS2025-00068,CTR,Numerica Urban,Urban,6,0,6,0,90676,84328,True,True,True,True,True,True,True,False,Flat/Apartment,0.61,CTR,Central Province,Numerica,5200000,"Capital region, services, government",Large
DHHS2025-00069,LKS,Port Sample District,Rural,2,1,1,0,55408,46125,True,True,False,True,False,True,False,False,Detached house,1.52,LKS,Lakeside Province,Port Sample,3000000,"Agriculture, lake fishing",Small
DHHS2025-00070,STH,Distribution District,Urban,7,1,6,0,22226,20739,False,False,False,True,False,True,False,False,Detached house,0.88,STH,Southern Province,Median City,3800000,"Industrial, urban",Large
DHHS2025-00071,LKS,Estimate District,Rural,3,2,1,0,53511,39393,False,False,True,False,True,True,False,False,Detached house,1.45,LKS,Lakeside Province,Port Sample,3000000,"Agriculture, lake fishing",Medium
DHHS2025-00072,LKS,Interval District,Rural,5,0,5,0,21167,19863,True,False,True,True,False,True,False,False,Traditional hut,1.6,LKS,Lakeside Province,Port Sample,3000000,"Agriculture, lake fishing",Medium
DHHS2025-00073,EST,Outlier Coastal,Urban,3,2,1,0,52407,45480,True,True,True,False,True,True,False,False,Informal,1.13,EST,Eastern Province,Outlier Bay,2500000,"Coastal, fishing, tourism",Medium
DHHS2025-00074,CTR,Numerica Urban,Urban,3,1,2,0,55740,52095,True,True,True,True,True,False,False,False,Detached house,0.59,CTR,Central Province,Numerica,5200000,"Capital region, services, government",Medium
DHHS2025-00075,STH,Distribution District,Rural,2,1,1,0,61273,51072,False,False,True,False,True,True,True,False,Detached house,1.29,STH,Southern Province,Median City,3800000,"Industrial, urban",Small
DHHS2025-00076,LKS,Parameter District,Urban,9,3,6,0,51499,44918,True,True,True,True,False,False,True,False,Semi-detached,1.02,LKS,Lakeside Province,Port Sample,3000000,"Agriculture, lake fishing",Large
DHHS2025-00077,LKS,Port Sample District,Rural,5,2,3,0,28367,23774,False,True,True,False,False,False,True,False,Semi-detached,1.51,LKS,Lakeside Province,Port Sample,3000000,"Agriculture, lake fishing",Medium
DHHS2025-00078,CTR,Numerica Urban,Rural,3,2,1,0,54137,44723,True,True,False,True,True,True,True,False,Traditional hut,0.85,CTR,Central Province,Numerica,5200000,"Capital region, services, government",Medium
DHHS2025-00079,CTR,Numerica Peri-Urban,Urban,5,4,1,0,120498,102264,True,True,True,False,True,True,True,True,Detached house,0.56,CTR,Central Province,Numerica,5200000,"Capital region, services, government",Medium
DHHS2025-00080,STH,Median Urban,Rural,9,1,8,0,25686,18523,True,True,True,False,True,True,False,False,Detached house,1.15,STH,Southern Province,Median City,3800000,"Industrial, urban",Large
DHHS2025-00081,LKS,Interval District,Urban,4,1,2,1,52447,46239,True,False,False,False,False,True,False,False,Semi-detached,0.95,LKS,Lakeside Province,Port Sample,3000000,"Agriculture, lake fishing",Medium
DHHS2025-00082,STH,Median Urban,Urban,4,1,3,0,83874,70696,True,True,True,True,True,True,False,False,Flat/Apartment,0.87,STH,Southern Province,Median City,3800000,"Industrial, urban",Medium
DHHS2025-00083,EST,Percentile District,Rural,6,2,4,0,61963,51920,True,False,True,True,False,True,True,False,Detached house,1.99,EST,Eastern Province,Outlier Bay,2500000,"Coastal, fishing, tourism",Large
DHHS2025-00084,WST,Confidence District,Rural,2,1,1,0,11150,9274,True,False,False,True,False,False,False,False,Detached house,2.32,WST,Western Province,Deviation,1900000,"Semi-arid, livestock",Small
DHHS2025-00085,EST,Outlier Coastal,Urban,4,3,1,0,69038,65192,True,True,True,True,True,True,False,False,Semi-detached,1.35,EST,Eastern Province,Outlier Bay,2500000,"Coastal, fishing, tourism",Medium
DHHS2025-00086,LKS,Parameter District,Urban,6,0,6,0,35616,32389,False,True,True,True,False,False,False,True,Single room,1.01,LKS,Lakeside Province,Port Sample,3000000,"Agriculture, lake fishing",Large
DHHS2025-00087,CTR,Numerica Peri-Urban,Rural,4,1,3,0,66626,56208,True,True,False,True,True,True,False,False,Single room,0.84,CTR,Central Province,Numerica,5200000,"Capital region, services, government",Medium
DHHS2025-00088,CTR,Variance District,Urban,5,1,4,0,49709,41315,False,False,True,True,True,True,True,True,Informal,0.58,CTR,Central Province,Numerica,5200000,"Capital region, services, government",Medium
DHHS2025-00089,STH,Mode District,Rural,5,1,4,0,30032,24844,False,True,True,True,True,False,True,True,Single room,1.2,STH,Southern Province,Median City,3800000,"Industrial, urban",Medium
DHHS2025-00090,CTR,Numerica Urban,Urban,9,0,9,0,85372,79170,True,True,True,False,True,True,True,False,Detached house,0.62,CTR,Central Province,Numerica,5200000,"Capital region, services, government",Large
DHHS2025-00091,CTR,Numerica Peri-Urban,Urban,2,0,2,0,47366,44374,True,False,True,True,True,True,False,True,Semi-detached,0.62,CTR,Central Province,Numerica,5200000,"Capital region, services, government",Small
DHHS2025-00092,STH,Mode District,Rural,3,0,3,0,103482,78901,True,True,True,False,True,True,True,False,Semi-detached,1.29,STH,Southern Province,Median City,3800000,"Industrial, urban",Medium
DHHS2025-00093,CTR,Numerica Peri-Urban,Urban,5,3,2,0,92294,79615,True,True,True,True,True,True,True,False,Informal,0.6,CTR,Central Province,Numerica,5200000,"Capital region, services, government",Medium
DHHS2025-00094,NTH,Polaris District,Urban,5,0,5,0,53155,45845,True,True,True,True,True,True,False,False,Informal,1.47,NTH,Northern Province,Polaris,2100000,"Rural, agricultural, mining",Medium
DHHS2025-00095,WST,Deviation District,Urban,1,0,1,0,81771,81499,True,True,True,True,True,True,False,False,Flat/Apartment,1.59,WST,Western Province,Deviation,1900000,"Semi-arid, livestock",Small
DHHS2025-00096,STH,Mode District,Urban,7,2,5,0,148654,124754,True,True,True,True,True,True,True,True,Informal,0.75,STH,Southern Province,Median City,3800000,"Industrial, urban",Large
DHHS2025-00097,STH,Distribution District,Rural,3,1,2,0,41433,39773,True,False,False,False,False,True,False,False,Traditional hut,1.23,STH,Southern Province,Median City,3800000,"Industrial, urban",Medium
DHHS2025-00098,STH,Distribution District,Urban,5,3,2,0,45294,35909,False,True,False,True,True,True,True,False,Semi-detached,0.83,STH,Southern Province,Median City,3800000,"Industrial, urban",Medium
DHHS2025-00099,CTR,Range District,Rural,11,4,7,0,23248,19044,False,True,True,True,False,False,False,False,Traditional hut,0.96,CTR,Central Province,Numerica,5200000,"Capital region, services, government",Large
DHHS2025-00100,STH,Frequency Plains,Urban,4,3,1,0,50399,44034,True,True,True,True,True,True,True,False,Flat/Apartment,0.81,STH,Southern Province,Median City,3800000,"Industrial, urban",Medium
DHHS2025-00101,CTR,Numerica Urban,Urban,6,4,2,0,24197,22293,True,False,True,True,True,False,False,False,Informal,0.56,CTR,Central Province,Numerica,5200000,"Capital region, services, government",Large
DHHS2025-00102,CTR,Range District,Urban,3,2,1,0,103801,88575,True,True,True,False,True,True,True,False,Detached house,0.61,CTR,Central Province,Numerica,5200000,"Capital region, services, government",Medium
DHHS2025-00103,STH,Distribution District,Urban,6,3,3,0,220328,200047,True,True,True,True,True,True,True,False,Single room,0.83,STH,Southern Province,Median City,3800000,"Industrial, urban",Large
DHHS2025-00104,STH,Frequency Plains,Rural,5,1,4,0,45726,43076,True,False,False,True,True,True,True,False,Traditional hut,1.15,STH,Southern Province,Median City,3800000,"Industrial, urban",Medium
DHHS2025-00105,CTR,Variance District,Rural,1,0,1,0,43664,36988,False,True,False,False,True,True,False,False,Traditional hut,0.92,CTR,Central Province,Numerica,5200000,"Capital region, services, government",Small
DHHS2025-00106,CTR,Variance District,Urban,6,0,6,0,74878,59237,True,True,True,True,True,True,True,False,Flat/Apartment,0.64,CTR,Central Province,Numerica,5200000,"Capital region, services, government",Large
DHHS2025-00107,CTR,Range District,Urban,6,5,1,0,90201,88695,True,True,True,True,True,True,False,False,Semi-detached,0.54,CTR,Central Province,Numerica,5200000,"Capital region, services, government",Large
DHHS2025-00108,CTR,Numerica Peri-Urban,Urban,3,2,1,0,41817,34492,True,True,False,True,True,False,True,False,Detached house,0.54,CTR,Central Province,Numerica,5200000,"Capital region, services, government",Medium
DHHS2025-00109,CTR,Numerica Urban,Rural,3,1,2,0,108502,90876,True,True,True,True,True,True,False,False,Traditional hut,0.96,CTR,Central Province,Numerica,5200000,"Capital region, services, government",Medium
DHHS2025-00110,LKS,Interval District,Urban,4,2,2,0,21955,18864,False,True,True,True,False,True,True,False,Detached house,0.99,LKS,Lakeside Province,Port Sample,3000000,"Agriculture, lake fishing",Medium
DHHS2025-00111,CTR,Numerica Urban,Rural,4,1,3,0,140674,118464,True,True,True,True,False,True,True,False,Detached house,0.96,CTR,Central Province,Numerica,5200000,"Capital region, services, government",Medium
DHHS2025-00112,NTH,Polaris District,Rural,5,4,1,0,31836,31377,False,True,False,True,False,True,True,False,Traditional hut,2.18,NTH,Northern Province,Polaris,2100000,"Rural, agricultural, mining",Medium
DHHS2025-00113,CTR,Numerica Urban,Urban,8,1,7,0,87142,68301,True,True,True,False,True,True,False,False,Single room,0.65,CTR,Central Province,Numerica,5200000,"Capital region, services, government",Large
DHHS2025-00114,CTR,Numerica Peri-Urban,Rural,7,3,4,0,70120,62944,True,True,True,False,True,True,False,False,Traditional hut,0.91,CTR,Central Province,Numerica,5200000,"Capital region, services, government",Large
DHHS2025-00115,CTR,Numerica Urban,Rural,4,1,3,0,32591,24896,True,True,True,False,False,True,False,False,Traditional hut,0.87,CTR,Central Province,Numerica,5200000,"Capital region, services, government",Medium
DHHS2025-00116,NTH,Polaris District,Urban,5,3,2,0,24532,20516,True,True,False,False,False,False,False,False,Informal,1.52,NTH,Northern Province,Polaris,2100000,"Rural, agricultural, mining",Medium
DHHS2025-00117,CTR,Numerica Urban,Rural,2,1,1,0,18455,14751,True,True,False,True,False,False,False,False,Detached house,0.97,CTR,Central Province,Numerica,5200000,"Capital region, services, government",Small
DHHS2025-00118,CTR,Numerica Peri-Urban,Urban,6,3,2,1,88796,66292,True,True,True,True,True,True,True,False,Single room,0.61,CTR,Central Province,Numerica,5200000,"Capital region, services, government",Large
DHHS2025-00119,WST,Deviation District,Rural,4,3,1,0,13869,14309,True,True,False,True,False,False,False,False,Detached house,2.6,WST,Western Province,Deviation,1900000,"Semi-arid, livestock",Medium
DHHS2025-00120,CTR,Range District,Urban,4,0,4,0,142000,128917,True,True,True,True,True,True,False,False,Single room,0.53,CTR,Central Province,Numerica,5200000,"Capital region, services, government",Medium
DHHS2025-00121,STH,Mode District,Rural,3,2,1,0,134473,121533,True,True,True,True,True,True,False,False,Semi-detached,1.12,STH,Southern Province,Median City,3800000,"Industrial, urban",Medium
DHHS2025-00122,CTR,Numerica Urban,Urban,5,4,1,0,38645,35273,True,True,True,True,False,True,False,False,Detached house,0.59,CTR,Central Province,Numerica,5200000,"Capital region, services, government",Medium
DHHS2025-00123,NTH,Regression Valley,Urban,6,3,3,0,57550,53302,True,True,True,True,False,False,False,False,Single room,1.47,NTH,Northern Province,Polaris,2100000,"Rural, agricultural, mining",Large
DHHS2025-00124,CTR,Variance District,Urban,7,3,4,0,15239,14980,True,True,False,True,False,True,False,True,Semi-detached,0.65,CTR,Central Province,Numerica,5200000,"Capital region, services, government",Large
DHHS2025-00125,STH,Distribution District,Urban,3,1,2,0,75339,65348,True,True,True,True,True,True,True,False,Semi-detached,0.77,STH,Southern Province,Median City,3800000,"Industrial, urban",Medium
DHHS2025-00126,EST,Percentile District,Rural,5,4,1,0,44316,33612,True,True,True,True,True,True,False,False,Traditional hut,1.77,EST,Eastern Province,Outlier Bay,2500000,"Coastal, fishing, tourism",Medium
DHHS2025-00127,NTH,Regression Valley,Rural,7,3,4,0,15064,11468,False,True,True,True,True,False,False,False,Traditional hut,1.99,NTH,Northern Province,Polaris,2100000,"Rural, agricultural, mining",Large
DHHS2025-00128,CTR,Numerica Peri-Urban,Rural,8,5,2,1,35077,28752,False,True,False,True,True,True,False,False,Traditional hut,0.91,CTR,Central Province,Numerica,5200000,"Capital region, services, government",Large
DHHS2025-00129,STH,Distribution District,Urban,7,0,7,0,155431,114327,True,True,True,True,True,True,False,True,Detached house,0.89,STH,Southern Province,Median City,3800000,"Industrial, urban",Large
DHHS2025-00130,STH,Frequency Plains,Urban,5,2,3,0,166829,158235,True,True,True,False,True,True,True,False,Single room,0.87,STH,Southern Province,Median City,3800000,"Industrial, urban",Medium
DHHS2025-00131,LKS,Estimate District,Rural,6,1,5,0,35852,26750,False,False,False,True,False,True,False,False,Traditional hut,1.51,LKS,Lakeside Province,Port Sample,3000000,"Agriculture, lake fishing",Large
DHHS2025-00132,STH,Median Urban,Rural,2,1,1,0,82643,70183,True,True,True,True,True,True,False,False,Detached house,1.25,STH,Southern Province,Median City,3800000,"Industrial, urban",Small
DHHS2025-00133,STH,Frequency Plains,Urban,9,3,6,0,61453,52129,True,True,True,False,True,True,True,False,Flat/Apartment,0.81,STH,Southern Province,Median City,3800000,"Industrial, urban",Large
DHHS2025-00134,NTH,Correlation Hills,Urban,6,2,4,0,73769,68088,True,True,True,True,False,True,True,False,Single room,1.59,NTH,Northern Province,Polaris,2100000,"Rural, agricultural, mining",Large
DHHS2025-00135,EST,Skewness District,Rural,4,0,4,0,27903,19252,True,True,False,True,True,True,False,False,Detached house,2.02,EST,Eastern Province,Outlier Bay,2500000,"Coastal, fishing, tourism",Medium
DHHS2025-00136,STH,Frequency Plains,Urban,9,1,8,0,90767,78340,True,True,True,True,True,True,False,False,Flat/Apartment,0.76,STH,Southern Province,Median City,3800000,"Industrial, urban",Large
DHHS2025-00137,EST,Kurtosis Bay,Rural,4,3,1,0,108785,78250,True,True,True,True,True,True,False,False,Traditional hut,1.82,EST,Eastern Province,Outlier Bay,2500000,"Coastal, fishing, tourism",Medium
DHHS2025-00138,WST,Confidence District,Rural,9,2,7,0,34387,26366,False,True,False,True,True,False,False,False,Detached house,2.28,WST,Western Province,Deviation,1900000,"Semi-arid, livestock",Large
DHHS2025-00139,STH,Distribution District,Urban,5,2,3,0,41479,41801,False,True,True,True,True,True,False,False,Detached house,0.78,STH,Southern Province,Median City,3800000,"Industrial, urban",Medium
DHHS2025-00140,STH,Distribution District,Urban,9,4,5,0,62368,49470,True,True,True,True,True,True,False,False,Semi-detached,0.8,STH,Southern Province,Median City,3800000,"Industrial, urban",Large
